INTERNAL EVENT. (LAMPORT_TIME=1, SYSTEM_TIME=2023-03-08 02:42:49.519323)
msg received (LAMPORT_TIME=2, SYSTEM_TIME=2023-03-08 02:42:49.580162) msg_queue len: 0
INTERNAL EVENT. (LAMPORT_TIME=3, SYSTEM_TIME=2023-03-08 02:42:49.638355)
INTERNAL EVENT. (LAMPORT_TIME=4, SYSTEM_TIME=2023-03-08 02:42:49.696809)
msg received (LAMPORT_TIME=7, SYSTEM_TIME=2023-03-08 02:42:49.814096) msg_queue len: 0
INTERNAL EVENT. (LAMPORT_TIME=8, SYSTEM_TIME=2023-03-08 02:42:49.874680)
INTERNAL EVENT. (LAMPORT_TIME=9, SYSTEM_TIME=2023-03-08 02:42:49.933270)
INTERNAL EVENT. (LAMPORT_TIME=10, SYSTEM_TIME=2023-03-08 02:42:49.992460)
msg received (LAMPORT_TIME=12, SYSTEM_TIME=2023-03-08 02:42:50.049731) msg_queue len: 0
INTERNAL EVENT. (LAMPORT_TIME=13, SYSTEM_TIME=2023-03-08 02:42:50.105868)
msg received (LAMPORT_TIME=14, SYSTEM_TIME=2023-03-08 02:42:50.166568) msg_queue len: 0
INTERNAL EVENT. (LAMPORT_TIME=15, SYSTEM_TIME=2023-03-08 02:42:50.227253)
INTERNAL EVENT. (LAMPORT_TIME=16, SYSTEM_TIME=2023-03-08 02:42:50.288427)
INTERNAL EVENT. (LAMPORT_TIME=17, SYSTEM_TIME=2023-03-08 02:42:50.344927)
INTERNAL EVENT. (LAMPORT_TIME=20, SYSTEM_TIME=2023-03-08 02:42:50.522576)
INTERNAL EVENT. (LAMPORT_TIME=22, SYSTEM_TIME=2023-03-08 02:42:50.642040)
msg received (LAMPORT_TIME=22, SYSTEM_TIME=2023-03-08 02:42:50.701555) msg_queue len: 0
INTERNAL EVENT. (LAMPORT_TIME=23, SYSTEM_TIME=2023-03-08 02:42:50.762248)
msg received (LAMPORT_TIME=25, SYSTEM_TIME=2023-03-08 02:42:50.820594) msg_queue len: 0
msg received (LAMPORT_TIME=25, SYSTEM_TIME=2023-03-08 02:42:50.880117) msg_queue len: 0
INTERNAL EVENT. (LAMPORT_TIME=26, SYSTEM_TIME=2023-03-08 02:42:50.940084)
