INTERNAL EVENT. (LAMPORT_TIME=119, SYSTEM_TIME=2023-03-08 02:42:56.180888)
INTERNAL EVENT. (LAMPORT_TIME=120, SYSTEM_TIME=2023-03-08 02:42:56.277278)
msg received (LAMPORT_TIME=127, SYSTEM_TIME=2023-03-08 02:42:56.373683) msg_queue len: 0
INTERNAL EVENT. (LAMPORT_TIME=128, SYSTEM_TIME=2023-03-08 02:42:56.466714)
msg received (LAMPORT_TIME=130, SYSTEM_TIME=2023-03-08 02:42:56.559835) msg_queue len: 0
msg received (LAMPORT_TIME=134, SYSTEM_TIME=2023-03-08 02:42:56.751873) msg_queue len: 0
INTERNAL EVENT. (LAMPORT_TIME=137, SYSTEM_TIME=2023-03-08 02:42:57.036146)
INTERNAL EVENT. (LAMPORT_TIME=138, SYSTEM_TIME=2023-03-08 02:42:57.131301)
INTERNAL EVENT. (LAMPORT_TIME=140, SYSTEM_TIME=2023-03-08 02:42:57.320543)
msg received (LAMPORT_TIME=146, SYSTEM_TIME=2023-03-08 02:42:57.416418) msg_queue len: 0
msg received (LAMPORT_TIME=150, SYSTEM_TIME=2023-03-08 02:42:57.607584) msg_queue len: 1
msg received (LAMPORT_TIME=151, SYSTEM_TIME=2023-03-08 02:42:57.703484) msg_queue len: 1
msg received (LAMPORT_TIME=151, SYSTEM_TIME=2023-03-08 02:42:57.798571) msg_queue len: 0
msg received (LAMPORT_TIME=155, SYSTEM_TIME=2023-03-08 02:42:57.891018) msg_queue len: 0
msg received (LAMPORT_TIME=157, SYSTEM_TIME=2023-03-08 02:42:57.988025) msg_queue len: 1
msg received (LAMPORT_TIME=157, SYSTEM_TIME=2023-03-08 02:42:58.083806) msg_queue len: 0
INTERNAL EVENT. (LAMPORT_TIME=158, SYSTEM_TIME=2023-03-08 02:42:58.179268)
msg received (LAMPORT_TIME=160, SYSTEM_TIME=2023-03-08 02:42:58.275292) msg_queue len: 0
INTERNAL EVENT. (LAMPORT_TIME=161, SYSTEM_TIME=2023-03-08 02:42:58.367165)
msg received (LAMPORT_TIME=164, SYSTEM_TIME=2023-03-08 02:42:58.463145) msg_queue len: 1
msg received (LAMPORT_TIME=165, SYSTEM_TIME=2023-03-08 02:42:58.559423) msg_queue len: 0
msg received (LAMPORT_TIME=167, SYSTEM_TIME=2023-03-08 02:42:58.655770) msg_queue len: 0
msg received (LAMPORT_TIME=168, SYSTEM_TIME=2023-03-08 02:42:58.751453) msg_queue len: 0
INTERNAL EVENT. (LAMPORT_TIME=169, SYSTEM_TIME=2023-03-08 02:42:58.847628)
msg received (LAMPORT_TIME=173, SYSTEM_TIME=2023-03-08 02:42:58.943249) msg_queue len: 2
msg received (LAMPORT_TIME=173, SYSTEM_TIME=2023-03-08 02:42:59.039318) msg_queue len: 1
msg received (LAMPORT_TIME=173, SYSTEM_TIME=2023-03-08 02:42:59.135781) msg_queue len: 0
INTERNAL EVENT. (LAMPORT_TIME=175, SYSTEM_TIME=2023-03-08 02:42:59.324912)
INTERNAL EVENT. (LAMPORT_TIME=176, SYSTEM_TIME=2023-03-08 02:42:59.421107)
INTERNAL EVENT. (LAMPORT_TIME=177, SYSTEM_TIME=2023-03-08 02:42:59.516615)
msg received (LAMPORT_TIME=186, SYSTEM_TIME=2023-03-08 02:42:59.610740) msg_queue len: 0
INTERNAL EVENT. (LAMPORT_TIME=187, SYSTEM_TIME=2023-03-08 02:42:59.706526)
msg received (LAMPORT_TIME=187, SYSTEM_TIME=2023-03-08 02:42:59.798403) msg_queue len: 0
msg received (LAMPORT_TIME=189, SYSTEM_TIME=2023-03-08 02:42:59.891823) msg_queue len: 0
INTERNAL EVENT. (LAMPORT_TIME=190, SYSTEM_TIME=2023-03-08 02:42:59.983546)
INTERNAL EVENT. (LAMPORT_TIME=191, SYSTEM_TIME=2023-03-08 02:43:00.078129)
INTERNAL EVENT. (LAMPORT_TIME=192, SYSTEM_TIME=2023-03-08 02:43:00.172417)
msg received (LAMPORT_TIME=198, SYSTEM_TIME=2023-03-08 02:43:00.268190) msg_queue len: 0
msg received (LAMPORT_TIME=203, SYSTEM_TIME=2023-03-08 02:43:00.554266) msg_queue len: 0
INTERNAL EVENT. (LAMPORT_TIME=204, SYSTEM_TIME=2023-03-08 02:43:00.650410)
INTERNAL EVENT. (LAMPORT_TIME=205, SYSTEM_TIME=2023-03-08 02:43:00.744636)
msg received (LAMPORT_TIME=207, SYSTEM_TIME=2023-03-08 02:43:00.838763) msg_queue len: 0
INTERNAL EVENT. (LAMPORT_TIME=208, SYSTEM_TIME=2023-03-08 02:43:00.935223)
msg received (LAMPORT_TIME=213, SYSTEM_TIME=2023-03-08 02:43:01.220101) msg_queue len: 0
msg received (LAMPORT_TIME=214, SYSTEM_TIME=2023-03-08 02:43:01.315602) msg_queue len: 0
INTERNAL EVENT. (LAMPORT_TIME=215, SYSTEM_TIME=2023-03-08 02:43:01.410825)
msg received (LAMPORT_TIME=220, SYSTEM_TIME=2023-03-08 02:43:01.602487) msg_queue len: 0
msg received (LAMPORT_TIME=222, SYSTEM_TIME=2023-03-08 02:43:01.695629) msg_queue len: 0
INTERNAL EVENT. (LAMPORT_TIME=223, SYSTEM_TIME=2023-03-08 02:43:01.792090)
msg received (LAMPORT_TIME=227, SYSTEM_TIME=2023-03-08 02:43:01.980716) msg_queue len: 0
msg received (LAMPORT_TIME=228, SYSTEM_TIME=2023-03-08 02:43:02.076802) msg_queue len: 1
msg received (LAMPORT_TIME=228, SYSTEM_TIME=2023-03-08 02:43:02.168733) msg_queue len: 0
INTERNAL EVENT. (LAMPORT_TIME=229, SYSTEM_TIME=2023-03-08 02:43:02.264839)
msg received (LAMPORT_TIME=235, SYSTEM_TIME=2023-03-08 02:43:02.358470) msg_queue len: 0
msg received (LAMPORT_TIME=235, SYSTEM_TIME=2023-03-08 02:43:02.454796) msg_queue len: 1
msg received (LAMPORT_TIME=237, SYSTEM_TIME=2023-03-08 02:43:02.550228) msg_queue len: 1
msg received (LAMPORT_TIME=237, SYSTEM_TIME=2023-03-08 02:43:02.642986) msg_queue len: 1
msg received (LAMPORT_TIME=237, SYSTEM_TIME=2023-03-08 02:43:02.739133) msg_queue len: 0
msg received (LAMPORT_TIME=241, SYSTEM_TIME=2023-03-08 02:43:02.836258) msg_queue len: 0
msg received (LAMPORT_TIME=243, SYSTEM_TIME=2023-03-08 02:43:02.928028) msg_queue len: 1
msg received (LAMPORT_TIME=245, SYSTEM_TIME=2023-03-08 02:43:03.024419) msg_queue len: 2
msg received (LAMPORT_TIME=245, SYSTEM_TIME=2023-03-08 02:43:03.119704) msg_queue len: 1
msg received (LAMPORT_TIME=247, SYSTEM_TIME=2023-03-08 02:43:03.212072) msg_queue len: 1
msg received (LAMPORT_TIME=249, SYSTEM_TIME=2023-03-08 02:43:03.308142) msg_queue len: 1
msg received (LAMPORT_TIME=251, SYSTEM_TIME=2023-03-08 02:43:03.404384) msg_queue len: 1
msg received (LAMPORT_TIME=251, SYSTEM_TIME=2023-03-08 02:43:03.496490) msg_queue len: 0
msg received (LAMPORT_TIME=255, SYSTEM_TIME=2023-03-08 02:43:03.588476) msg_queue len: 1
msg received (LAMPORT_TIME=256, SYSTEM_TIME=2023-03-08 02:43:03.680250) msg_queue len: 1
msg received (LAMPORT_TIME=258, SYSTEM_TIME=2023-03-08 02:43:03.775797) msg_queue len: 1
msg received (LAMPORT_TIME=260, SYSTEM_TIME=2023-03-08 02:43:03.871666) msg_queue len: 1
msg received (LAMPORT_TIME=263, SYSTEM_TIME=2023-03-08 02:43:03.965807) msg_queue len: 1
msg received (LAMPORT_TIME=263, SYSTEM_TIME=2023-03-08 02:43:04.061639) msg_queue len: 0
msg received (LAMPORT_TIME=265, SYSTEM_TIME=2023-03-08 02:43:04.156855) msg_queue len: 1
msg received (LAMPORT_TIME=266, SYSTEM_TIME=2023-03-08 02:43:04.249044) msg_queue len: 1
msg received (LAMPORT_TIME=270, SYSTEM_TIME=2023-03-08 02:43:04.345094) msg_queue len: 2
msg received (LAMPORT_TIME=270, SYSTEM_TIME=2023-03-08 02:43:04.438483) msg_queue len: 2
msg received (LAMPORT_TIME=272, SYSTEM_TIME=2023-03-08 02:43:04.532577) msg_queue len: 2
msg received (LAMPORT_TIME=273, SYSTEM_TIME=2023-03-08 02:43:04.627787) msg_queue len: 2
msg received (LAMPORT_TIME=275, SYSTEM_TIME=2023-03-08 02:43:04.723067) msg_queue len: 2
msg received (LAMPORT_TIME=277, SYSTEM_TIME=2023-03-08 02:43:04.819010) msg_queue len: 3
msg received (LAMPORT_TIME=278, SYSTEM_TIME=2023-03-08 02:43:04.913044) msg_queue len: 2
msg received (LAMPORT_TIME=280, SYSTEM_TIME=2023-03-08 02:43:05.004801) msg_queue len: 2
msg received (LAMPORT_TIME=280, SYSTEM_TIME=2023-03-08 02:43:05.100556) msg_queue len: 1
msg received (LAMPORT_TIME=283, SYSTEM_TIME=2023-03-08 02:43:05.194508) msg_queue len: 3
msg received (LAMPORT_TIME=284, SYSTEM_TIME=2023-03-08 02:43:05.289919) msg_queue len: 2
msg received (LAMPORT_TIME=284, SYSTEM_TIME=2023-03-08 02:43:05.381192) msg_queue len: 1
msg received (LAMPORT_TIME=284, SYSTEM_TIME=2023-03-08 02:43:05.477691) msg_queue len: 0
msg received (LAMPORT_TIME=291, SYSTEM_TIME=2023-03-08 02:43:05.572435) msg_queue len: 0
INTERNAL EVENT. (LAMPORT_TIME=292, SYSTEM_TIME=2023-03-08 02:43:05.669271)
msg received (LAMPORT_TIME=292, SYSTEM_TIME=2023-03-08 02:43:05.765622) msg_queue len: 0
msg received (LAMPORT_TIME=298, SYSTEM_TIME=2023-03-08 02:43:05.861376) msg_queue len: 1
msg received (LAMPORT_TIME=298, SYSTEM_TIME=2023-03-08 02:43:05.955277) msg_queue len: 0
INTERNAL EVENT. (LAMPORT_TIME=299, SYSTEM_TIME=2023-03-08 02:43:06.048000)
INTERNAL EVENT. (LAMPORT_TIME=301, SYSTEM_TIME=2023-03-08 02:43:06.239622)
msg received (LAMPORT_TIME=307, SYSTEM_TIME=2023-03-08 02:43:06.335893) msg_queue len: 1
msg received (LAMPORT_TIME=309, SYSTEM_TIME=2023-03-08 02:43:06.431557) msg_queue len: 1
msg received (LAMPORT_TIME=310, SYSTEM_TIME=2023-03-08 02:43:06.527897) msg_queue len: 1
msg received (LAMPORT_TIME=310, SYSTEM_TIME=2023-03-08 02:43:06.624185) msg_queue len: 0
INTERNAL EVENT. (LAMPORT_TIME=311, SYSTEM_TIME=2023-03-08 02:43:06.720562)
msg received (LAMPORT_TIME=317, SYSTEM_TIME=2023-03-08 02:43:06.815128) msg_queue len: 0
INTERNAL EVENT. (LAMPORT_TIME=318, SYSTEM_TIME=2023-03-08 02:43:06.911923)
msg received (LAMPORT_TIME=320, SYSTEM_TIME=2023-03-08 02:43:07.006916) msg_queue len: 0
INTERNAL EVENT. (LAMPORT_TIME=321, SYSTEM_TIME=2023-03-08 02:43:07.101622)
INTERNAL EVENT. (LAMPORT_TIME=323, SYSTEM_TIME=2023-03-08 02:43:07.288459)
INTERNAL EVENT. (LAMPORT_TIME=324, SYSTEM_TIME=2023-03-08 02:43:07.381126)
INTERNAL EVENT. (LAMPORT_TIME=325, SYSTEM_TIME=2023-03-08 02:43:07.477700)
msg received (LAMPORT_TIME=332, SYSTEM_TIME=2023-03-08 02:43:07.668752) msg_queue len: 0
INTERNAL EVENT. (LAMPORT_TIME=333, SYSTEM_TIME=2023-03-08 02:43:07.763028)
INTERNAL EVENT. (LAMPORT_TIME=334, SYSTEM_TIME=2023-03-08 02:43:07.859243)
msg received (LAMPORT_TIME=337, SYSTEM_TIME=2023-03-08 02:43:08.047067) msg_queue len: 0
msg received (LAMPORT_TIME=341, SYSTEM_TIME=2023-03-08 02:43:08.142882) msg_queue len: 0
INTERNAL EVENT. (LAMPORT_TIME=342, SYSTEM_TIME=2023-03-08 02:43:08.240017)
INTERNAL EVENT. (LAMPORT_TIME=343, SYSTEM_TIME=2023-03-08 02:43:08.334614)
INTERNAL EVENT. (LAMPORT_TIME=344, SYSTEM_TIME=2023-03-08 02:43:08.430888)
msg received (LAMPORT_TIME=348, SYSTEM_TIME=2023-03-08 02:43:08.526848) msg_queue len: 0
INTERNAL EVENT. (LAMPORT_TIME=350, SYSTEM_TIME=2023-03-08 02:43:08.717870)
msg received (LAMPORT_TIME=354, SYSTEM_TIME=2023-03-08 02:43:08.814834) msg_queue len: 1
msg received (LAMPORT_TIME=354, SYSTEM_TIME=2023-03-08 02:43:08.907323) msg_queue len: 0
msg received (LAMPORT_TIME=359, SYSTEM_TIME=2023-03-08 02:43:09.100285) msg_queue len: 0
msg received (LAMPORT_TIME=361, SYSTEM_TIME=2023-03-08 02:43:09.196196) msg_queue len: 0
msg received (LAMPORT_TIME=362, SYSTEM_TIME=2023-03-08 02:43:09.292402) msg_queue len: 0
INTERNAL EVENT. (LAMPORT_TIME=365, SYSTEM_TIME=2023-03-08 02:43:09.578975)
INTERNAL EVENT. (LAMPORT_TIME=367, SYSTEM_TIME=2023-03-08 02:43:09.764540)
INTERNAL EVENT. (LAMPORT_TIME=369, SYSTEM_TIME=2023-03-08 02:43:09.955145)
msg received (LAMPORT_TIME=374, SYSTEM_TIME=2023-03-08 02:43:10.049761) msg_queue len: 0
INTERNAL EVENT. (LAMPORT_TIME=375, SYSTEM_TIME=2023-03-08 02:43:10.144405)
INTERNAL EVENT. (LAMPORT_TIME=376, SYSTEM_TIME=2023-03-08 02:43:10.238583)
msg received (LAMPORT_TIME=380, SYSTEM_TIME=2023-03-08 02:43:10.333246) msg_queue len: 0
INTERNAL EVENT. (LAMPORT_TIME=382, SYSTEM_TIME=2023-03-08 02:43:10.522298)
INTERNAL EVENT. (LAMPORT_TIME=383, SYSTEM_TIME=2023-03-08 02:43:10.614218)
msg received (LAMPORT_TIME=387, SYSTEM_TIME=2023-03-08 02:43:10.897693) msg_queue len: 1
msg received (LAMPORT_TIME=389, SYSTEM_TIME=2023-03-08 02:43:10.993780) msg_queue len: 0
INTERNAL EVENT. (LAMPORT_TIME=390, SYSTEM_TIME=2023-03-08 02:43:11.087521)
msg received (LAMPORT_TIME=400, SYSTEM_TIME=2023-03-08 02:43:11.374285) msg_queue len: 0
INTERNAL EVENT. (LAMPORT_TIME=401, SYSTEM_TIME=2023-03-08 02:43:11.470509)
msg received (LAMPORT_TIME=401, SYSTEM_TIME=2023-03-08 02:43:11.567129) msg_queue len: 2
msg received (LAMPORT_TIME=404, SYSTEM_TIME=2023-03-08 02:43:11.663483) msg_queue len: 1
msg received (LAMPORT_TIME=404, SYSTEM_TIME=2023-03-08 02:43:11.758983) msg_queue len: 0
msg received (LAMPORT_TIME=408, SYSTEM_TIME=2023-03-08 02:43:11.950039) msg_queue len: 0
msg received (LAMPORT_TIME=410, SYSTEM_TIME=2023-03-08 02:43:12.045513) msg_queue len: 0
msg received (LAMPORT_TIME=412, SYSTEM_TIME=2023-03-08 02:43:12.140622) msg_queue len: 0
INTERNAL EVENT. (LAMPORT_TIME=413, SYSTEM_TIME=2023-03-08 02:43:12.235999)
INTERNAL EVENT. (LAMPORT_TIME=414, SYSTEM_TIME=2023-03-08 02:43:12.332303)
INTERNAL EVENT. (LAMPORT_TIME=415, SYSTEM_TIME=2023-03-08 02:43:12.428333)
msg received (LAMPORT_TIME=420, SYSTEM_TIME=2023-03-08 02:43:12.523958) msg_queue len: 1
msg received (LAMPORT_TIME=421, SYSTEM_TIME=2023-03-08 02:43:12.620954) msg_queue len: 1
msg received (LAMPORT_TIME=421, SYSTEM_TIME=2023-03-08 02:43:12.716821) msg_queue len: 1
msg received (LAMPORT_TIME=421, SYSTEM_TIME=2023-03-08 02:43:12.808834) msg_queue len: 0
msg received (LAMPORT_TIME=426, SYSTEM_TIME=2023-03-08 02:43:12.900775) msg_queue len: 0
msg received (LAMPORT_TIME=426, SYSTEM_TIME=2023-03-08 02:43:12.994324) msg_queue len: 0
msg received (LAMPORT_TIME=430, SYSTEM_TIME=2023-03-08 02:43:13.087151) msg_queue len: 0
msg received (LAMPORT_TIME=433, SYSTEM_TIME=2023-03-08 02:43:13.183176) msg_queue len: 0
INTERNAL EVENT. (LAMPORT_TIME=436, SYSTEM_TIME=2023-03-08 02:43:13.469594)
msg received (LAMPORT_TIME=439, SYSTEM_TIME=2023-03-08 02:43:13.564808) msg_queue len: 0
INTERNAL EVENT. (LAMPORT_TIME=441, SYSTEM_TIME=2023-03-08 02:43:13.756238)
msg received (LAMPORT_TIME=444, SYSTEM_TIME=2023-03-08 02:43:13.854051) msg_queue len: 0
INTERNAL EVENT. (LAMPORT_TIME=445, SYSTEM_TIME=2023-03-08 02:43:13.950628)
INTERNAL EVENT. (LAMPORT_TIME=446, SYSTEM_TIME=2023-03-08 02:43:14.044387)
INTERNAL EVENT. (LAMPORT_TIME=447, SYSTEM_TIME=2023-03-08 02:43:14.136482)
INTERNAL EVENT. (LAMPORT_TIME=449, SYSTEM_TIME=2023-03-08 02:43:14.326024)
msg received (LAMPORT_TIME=452, SYSTEM_TIME=2023-03-08 02:43:14.419103) msg_queue len: 0
msg received (LAMPORT_TIME=453, SYSTEM_TIME=2023-03-08 02:43:14.514092) msg_queue len: 0
INTERNAL EVENT. (LAMPORT_TIME=454, SYSTEM_TIME=2023-03-08 02:43:14.611817)
INTERNAL EVENT. (LAMPORT_TIME=455, SYSTEM_TIME=2023-03-08 02:43:14.707120)
INTERNAL EVENT. (LAMPORT_TIME=456, SYSTEM_TIME=2023-03-08 02:43:14.803335)
msg received (LAMPORT_TIME=465, SYSTEM_TIME=2023-03-08 02:43:14.898523) msg_queue len: 0
msg received (LAMPORT_TIME=467, SYSTEM_TIME=2023-03-08 02:43:14.994939) msg_queue len: 1
msg received (LAMPORT_TIME=469, SYSTEM_TIME=2023-03-08 02:43:15.090638) msg_queue len: 1
msg received (LAMPORT_TIME=469, SYSTEM_TIME=2023-03-08 02:43:15.185669) msg_queue len: 0
INTERNAL EVENT. (LAMPORT_TIME=470, SYSTEM_TIME=2023-03-08 02:43:15.278252)
INTERNAL EVENT. (LAMPORT_TIME=471, SYSTEM_TIME=2023-03-08 02:43:15.370924)
INTERNAL EVENT. (LAMPORT_TIME=472, SYSTEM_TIME=2023-03-08 02:43:15.464449)
INTERNAL EVENT. (LAMPORT_TIME=473, SYSTEM_TIME=2023-03-08 02:43:15.559793)
INTERNAL EVENT. (LAMPORT_TIME=474, SYSTEM_TIME=2023-03-08 02:43:15.651506)
INTERNAL EVENT. (LAMPORT_TIME=477, SYSTEM_TIME=2023-03-08 02:43:15.936678)
INTERNAL EVENT. (LAMPORT_TIME=478, SYSTEM_TIME=2023-03-08 02:43:16.031451)
INTERNAL EVENT. (LAMPORT_TIME=479, SYSTEM_TIME=2023-03-08 02:43:16.125849)
INTERNAL EVENT. (LAMPORT_TIME=480, SYSTEM_TIME=2023-03-08 02:43:16.219044)
msg received (LAMPORT_TIME=487, SYSTEM_TIME=2023-03-08 02:43:16.313128) msg_queue len: 0
msg received (LAMPORT_TIME=492, SYSTEM_TIME=2023-03-08 02:43:16.404659) msg_queue len: 0
INTERNAL EVENT. (LAMPORT_TIME=493, SYSTEM_TIME=2023-03-08 02:43:16.500176)
msg received (LAMPORT_TIME=497, SYSTEM_TIME=2023-03-08 02:43:16.595236) msg_queue len: 0
msg received (LAMPORT_TIME=499, SYSTEM_TIME=2023-03-08 02:43:16.690735) msg_queue len: 0
msg received (LAMPORT_TIME=501, SYSTEM_TIME=2023-03-08 02:43:16.786542) msg_queue len: 1
msg received (LAMPORT_TIME=501, SYSTEM_TIME=2023-03-08 02:43:16.882539) msg_queue len: 1
msg received (LAMPORT_TIME=501, SYSTEM_TIME=2023-03-08 02:43:16.978545) msg_queue len: 0
msg received (LAMPORT_TIME=504, SYSTEM_TIME=2023-03-08 02:43:17.074517) msg_queue len: 0
msg received (LAMPORT_TIME=505, SYSTEM_TIME=2023-03-08 02:43:17.167593) msg_queue len: 0
INTERNAL EVENT. (LAMPORT_TIME=506, SYSTEM_TIME=2023-03-08 02:43:17.262997)
msg received (LAMPORT_TIME=510, SYSTEM_TIME=2023-03-08 02:43:17.355193) msg_queue len: 0
msg received (LAMPORT_TIME=513, SYSTEM_TIME=2023-03-08 02:43:17.453758) msg_queue len: 0
msg received (LAMPORT_TIME=515, SYSTEM_TIME=2023-03-08 02:43:17.549943) msg_queue len: 0
msg received (LAMPORT_TIME=517, SYSTEM_TIME=2023-03-08 02:43:17.644789) msg_queue len: 1
msg received (LAMPORT_TIME=517, SYSTEM_TIME=2023-03-08 02:43:17.740437) msg_queue len: 0
INTERNAL EVENT. (LAMPORT_TIME=518, SYSTEM_TIME=2023-03-08 02:43:17.836359)
msg received (LAMPORT_TIME=523, SYSTEM_TIME=2023-03-08 02:43:17.933509) msg_queue len: 0
msg received (LAMPORT_TIME=524, SYSTEM_TIME=2023-03-08 02:43:18.029016) msg_queue len: 0
msg received (LAMPORT_TIME=526, SYSTEM_TIME=2023-03-08 02:43:18.123494) msg_queue len: 1
msg received (LAMPORT_TIME=527, SYSTEM_TIME=2023-03-08 02:43:18.220190) msg_queue len: 1
msg received (LAMPORT_TIME=527, SYSTEM_TIME=2023-03-08 02:43:18.311793) msg_queue len: 0
msg received (LAMPORT_TIME=530, SYSTEM_TIME=2023-03-08 02:43:18.408068) msg_queue len: 0
msg received (LAMPORT_TIME=533, SYSTEM_TIME=2023-03-08 02:43:18.504036) msg_queue len: 1
